key,en [English],sw [Swahili],ha [Hausa],yo [Yoruba],fr [French],ar [Arabic]
update_shara.title,Update Shara,Sasisha shara,Sabunta shara,,,
update_shara.description,A new version of the app is now available. Update now see what’s new,Toleo jipya la programu sasa linapatikana. Sasisha sasa uone kilichotekea,Ansaki sabon launin manhajar. Yi maza ka sabunta naka yanzu,,,
update_shara.submit_button,Update Now,Sasisha sasa,Sabuntawa yanzu,,,
next,Next,Fuatayo,Na Gaba,,,
send,Send,Tuma,Aika,,,
skip,Skip,Ruka,Tsallake,,,
get_started,Get Started,Anza,Farawa,,,
login.heading,Get Started For Free,Anza bure,Farawa kyauta,,,
login.subheading,Log in to auto-backup and sync your data securely,Ingia kwenye akaunti kiotomatiki na usawazishe data yako salama,Shiga ciki don adana bayanan kai tsaye ka kuma daidaita bayanan ka lafiya,,,
login.login_button,Next,Ifuatayo,Na Gaba,,,
login.forgot_password,Forgot your password?,Umesahau neno siri yako?,Manta lambar sirri,,,
register.header,Sign up,Jiandikishe,Yi rejista,,,
register.heading,Get Started For Free,Anza bure,Farawa kyauta,,,
register.subheading,Sign up and enjoy all the features available on Shara. It only takes a few moments.,Jiandikishe na ufurahie huduma zote zinapatikana. Inachukua muda mfupi tu,Yi rijista domin ku mori tsarukan da ake da su a shara. Yana daukan kankanin loakcine kawai.,,,
register.submit_button,Sign Up,Jiandikishe,Yi rijista,,,
register.have_account,Already have an account?,Tayari unayo akaunti,Ina da rijista,,,
register.sign_in,Sign In,Jiandikishe,shiga,,,
otp.heading,OTP,OTP,OTP,,,
otp.subheading,"We’ve sent a one-time password to mobile number **{{mobile}}**, check your SMS or Whatsapp and enter it below.",Kichwa kidogo cha OTP,"Muntura OTP, duba cikin sakon wayar ka ko whatsapp dinka sai kashigar da it anan",,,
otp.otp_resent,OTP RESENT,OTP imerudishwa,A sake tura OTP,,,
otp.otp_button,Get Started,Anza,Farawa,,,
otp.resend_text,Didn't receive the code?,Hukupokea nambari hiyo,Ban samu lambar ba,,,
otp.resend_button,Resend Code,Tuma tena nambari,Sake turo wata lambar,,,
forgot_password.heading,Forgot your password?,Umesahau nambari yako ya siri,Manta lambar sirri,,,
forgot_password.subheading,Enter your mobile number to receive your OTP,Ingiza nambari yako kupokea OTP,Shigar da lambar wayarka domin samun OTP,,,
forgot_password.fp_button,Submit,Wasilisha,Turawa,,,
reset_password.header,Reset your password,Weka upya namba yako ya siri,Sake seta lambar sirri,,,
reset_password.heading,Reset your password,Weka upya namba yako ya siri,Sake seta lambar sirri,,,
reset_password.password_match,Passwords do not match,Namba yako ya siri hazilingani,lambar sirri bata zo iri daya ba,,,
reset_password.submit_button,submit,Wasilisha,Turawa,,,
reset_password.otp_label,OTP,OTP,OTP,,,
reset_password.password_label,Enter you new password,Ingiza namba yako mpya ya siri,Sanya sabuwar lambar sirri,,,
reset_password.repeat_password_label,Enter your password again,Ingiza namba yako ya siri tena,sake sanya lambar sirri,,,
fields.phone.label,What's your phone number?,Namba yako ya simu ni ipi,Lambar waya,,,
fields.phone.placeholder,Enter your number,Weka number yako,Kusanya lambar ku,,,
fields.password.label,Enter your password,Eka namba yako ya siri,Sanya lambar sirri,,,
fields.confirm_password.label,Confirm password,Thibitisha namba yako ya siri,Tabbatar da lambar sirri,,,
fields.name.label,Name,Jina,Suna,,,
alert.minimum_phone_digits,Number should be minimum of 5 digits,Nambaro inapaswa kuwa na kiwango cha chini cha tarakilimu,lambar kar ta wuce guda biyar,,,
alert.error,Error,Kosa,Kuskure,,,
alert.select_country,Please select a country,Tafadhali chagua nchi,Zabi Kasa,,,
alert.password_match,Passwords must match,Namba yako ya siri inapaswa kufanana,Dole lambar sirri tazo iri daya,,,
alert.required.number,Number is required,Nambari inahitajika,Ana bukatar lamba,,,
alert.required.password,Password is required,Namba ya siri inahitajika,Ana bukatar lambar sirri,,,
alert.required.otp,OTP is required,OTP inahitajika,Ana bukatar OTP,,,
alert.something_went_wrong,Oops! Something went wrong.,Kuna kitu kimeenda vibaya,Oops! Akwai abun daya faru,,,
alert.feedback_validation,Minimum of 25 charaters allowed,Kima cha chini cha makaratasi 25 huruhusiwa,Mafi karancin harufa 25 aka yarda asaka,,,
alert.feedback_is_empty,Message cannot be empty,Ujumbe hauwezi kuwa tupu,Sako bazai zama fanko ba,,,
alert.clear_app_data,Try clearing app data from application settings,Jaribu kufuta data ya programu kutoka kwa mipangilio ya programu,Gwada share bayanan manhajar daga cikin saitin aikace aikace,,,
alert.ok,OK,Sawa,Yayi,,,
alert.sync.title,Sync in progress,Usawazishaji unaendelea,Ana kan daidaita aiki,,,
alert.sync.description,We are syncing your data across the Shara app. This might take a few seconds.,Tunasawazisha data yako kwenye programu ya Shara.Hii itachukua sekunde chache.,Ana kan daidaita bayananku zuwa sassan manhajar shara. zai dan dauki lokaci,,,
alert.api.fallbackError,Oops! Something unexpected happened.,Kitu kisichotarajiwa kimetokea,Oops! Akwai abun daya faru cikin rashin tsammani,,,
alert.api.auth.otp.welcomeBack,Welcome back to Shara. We've sent an OTP to your mobile number,Karibu tena Shara tumetuma OTP kwa nambari yako ya rununu,Barka da dawowa shara. Mun turo OTP zuwa lambar wayar ka,,,
alert.api.auth.otp.welcome,Welcome to Shara. We've sent an OTP to your mobile number,Karibu tena kwa Shara .Tumetuma OTP kwa nambari yako ya rununu,Barka da shigowa shara. Mun turo OTP zuwa lambar wayar,,,
alert.api.auth.otp.selectCountry,Please select a country,Tafadhali chagua nchi,Zabi Kasa,,,
alert.api.auth.otp.fallbackError,Oops! An error occurred while signing up user,Hitilafu ilitokea wakati wa kusajili mtumiaji,Oopa! Ansamu kuskure yayin yin rijista,,,
alert.api.auth.login.otpExpired,OTP has expired,OTP imeisha,OTP Ta Kare,,,
alert.api.auth.login.success,Login Successful,Kuingia kumefanikiwa,Shiga tayi nasara,,,
alert.api.auth.login.fallbackError,Invalid mobile or OTP,Simu batili au OTP,Ansaka lamba ko OTP ba daidai ba,,,
alert.api.business.notFound,Business not found,Biashara haikupatikana,Ba a samo cinikayya ba,,,
alert.api.business.create.success,Business created successfully,Biashara iliyoundwa kwa mafanikio,Anyi nasarar hada cinikayya,,,
alert.api.business.details.success,Business found successfully,Biashara imepatikana kwa mafanikio,Ansamu nasarar samo cinikayya,,,
alert.api.business.customerDetails.notFound,Customer not found,Mteja hapatikani,Ba asamo kwastoma ba,,,
alert.api.business.customerDetails.success,Customer found successfully,Mteja amepatikana kwa mafanikio,Anyi nasarar samo kwastoma,,,
alert.api.business.update.uniqueSlug,This slug has been taken already,Slug imechukuliwa tayari,Anriga an dauki wannan slug din,,,
alert.api.business.update.success,Business updated successfully,Biashara imesasishwa kwa mafanikio,Anyi nasarar sabunta cinikayya,,,
alert.api.fcm.addToken.missingFields,FCM token and platform are required,Ishara ya FCM na jukwaa inahitajika,Ana buqata alamar da dandamalin FCM,,,
alert.api.fcm.addToken.success,Token updated successfully,Tokeni imesasishwa kwa mafanikio,Anyi nasarar sbunta alama,,,
alert.api.passwordReset.notFound,Account not found,Akaunti haikupatikana,Ba asamu asusu ba,,,
alert.api.passwordReset.create.success,Please use the OTP sent to your mobile number,Tafadhali tumia OTP iliyotumwa kwa nambari yako ya rununu,Yi amfani da OTP da aka tura,,,
alert.api.passwordReset.reset.invalid,OTP has expired or is invalid,OTP imeisha ama ni batili,OTP ta lalace ko ta kare,,,
alert.api.passwordReset.reset.success,Password reset successful,Kuwekwa kwa nambari yako ya siri kumefanikiwa,Anyi nasarar sbunta lambar sirri,,,
alert.api.passwordReset.update.uniqueSlug,This slug has been taken already,Slug imechukuliwa tayari,Anriga an dauki wannan slug din,,,
alert.api.passwordReset.update.success,Business updated successfully,Biashara imesasishwa kwa mafanikio,Anyi nasarar sabunta cinikayya,,,
alert.api.paymentProvider.list.success,Payment providers retrieved successfully,Watoa malipo walipata kwa mafanikio,Anyi nasarar dawo da masu biyan kudi,,,
alert.api.user.update.success,User updated successfully,Mtumiaji amwsasishwa kwa mafanikio,Anyi nasarar sabunta user,,,
alert.api.mPesa.initiateSTKPush.business.notFound,Business not found,Biashara haipatikani,Ba a samo kasuwanci ba,,,
alert.api.mPesa.initiateSTKPush.customer.notFound,Business not found,Biashara haipatikani,Ba a samo kasuwanci ba,,,
alert.api.mPesa.initiateSTKPush.kenyaOnly,Business not found,Biashara haipatikani,Ba a samo kasuwanci ba,,,
alert.api.mPesa.initiateSTKPush.success,We were unable to send an STK push to your mobile number please try again or contact us through the Shara mobile application,Hatukuweza kutuma kitufe cha STK kwa nambari yako ya rununu tafadhali jaribu tena au wasiliana nasi kupitia programu ya rununu ya Shara,Ba mu sami ikon turo tura ta STK zuwa lambar wayarku ba da fatan a sake gwadawa ko a tuntube mu ta hanyar aikace-aikacen wayar Shara,,,
alert.api.mPesa.processValidationEvent.success,Error Validating Payment, Hitilafu katika kuhalalisha malipo,Ansamu matsalar inganta biya,,,
alert.api.mPesa.processConfirmationEvent.success,Error Confirming Payment,Hitilafu wakati wa kuthibitisha malipo,Ansamu matsalar Tabbatar da biya,,,
alert.api.disbursement.create.notFound,Your selected withdrawal method is not available,Njia uliyochagua ya kujiondoa haipatikani,Bamu da irin tsarin cirar kudin da aka zaba a yanzu,,,
alert.api.disbursement.create.success,Your withdrawal has been processed successfully,Utoaji wako umeshughulikiwa vyema,An aiwatar da cirar kudi cikin nasara,,,
alert.api.disbursement.create.insufficientBalance,You cannot withdraw more than {{maxAmount}},Huwezi kutoa zaidi ya {{max amount}},baza a iya cira ya wuce {{maxAmount}},,,
alert.api.disbursement.create.error,"We were unable to process your withdrawal, please try again or contact us through the Shara mobile application",Hatukuweza kushughulikia uondoaji wako tafadhali jaribu tena au wasiliana nasi kwa kupitia maombi ya rununu ya Shara,Mun gaza aiwatar da cirar kudi. A daure a kara gwadawa ko a nemomu ta manhajar shara,,,
alert.api.drawdown.create.notFound,No drawdown has been approved for you,Hakuna uondoaji umeidhinishwa kwako,Ba a tabbatar da bashi ba,,,
alert.api.drawdown.create.invalidAmount,Amount specified is more than the amount available for drawdown,Kiasi kilichoainishwa ni zaidi ya kiwango kinachopatikana cha kushuka,Farashin da aka zaba ya wuce Farashin karban bashinka,,,
alert.api.drawdown.create.inactive,Drawdown is not currently active,Kiwango ca kushuka hakifanyi kazi kwa sasa,karbar bashi bai fara aiki ba ayanzu,,,
alert.api.drawdown.create.error,"We were unable to process your drawdown, please try again or contact us through the Shara mobile application","Hatukuweza kushughulikia shida yako,tafadhali jaribu tena au wasiliana nasi kupitia programu ya rununu ya Shara","Mungaza aiwatar da bashinka, adaure a sake gwadawa ko a nememu ta manhajar shara",,,
alert.api.drawdown.create.success,Drawdown taken successfully,Mchoro umechukuliwa kwa mafanikio,An karbi bashi cikin nasara,,,
alert.api.drawdownRepayment.create.notFound,No drawdown has been approved for you,Hakuna mabadiliko ambayo yameidhinishwa kwako,Ba bashin da aka tabbatar,,,
alert.api.drawdownRepayment.create.complete,You've already finished repaying your loans,Umeshamaliza kulipa mikopo yako,Anriga da angama biyan bashi,,,
alert.api.drawdownRepayment.create.error,"We were unable to process your drawdown, please try again or contact us through the Shara mobile application",Hatukuweza kushughulikia shida yako tafadhali jaribu tena au wasiliana nasi kupitia programu ya rununu ya Shara,"Mungaza aiwatar da bashinka, adaure a sake gwadawa ko a nememu ta manhajar shara",,,
alert.api.drawdownRepayment.create.insufficientBalance,Your wallet balance is not sufficient,Salio lako la mkoba halitoshi,balans din wallet dinka basu kai ba,,,
alert.api.drawdownRepayment.create.success,Repayment successful,Ulipaji umafanikiwa,An sake biya cikin nasara,,,
alert.api.identity.verify.error,"We were unable to verify your identity, please try again or contact us through the Shara mobile application",Hatukuweza kuthibitisha upungufu wako tafadhali jaribu tena au wasiliana nasi kupitia programu ya simu ya Shara,Mun kasa inganta shaidarku. A daure ayi mana magana ta manhajar shara,,,
alert.api.identity.verify.invalid,Your ID is invalid,Kitamblisho chako ni batili,Shaidarku bata inganta ba,,,
alert.api.identity.verify.success,Verification successful,Uthibitishaji umefanikiwa,An tabbatar cikin nasara,,,
alert.api.identity.validate.error,OTP Validation Failed,Uthibitishaji wa OTP haukufaulu,Ba ayi nasarar in ganta OTP ba,,,
alert.api.identity.validate.invalid,Your OTP is invalid,OTP yako ni batili,OTP bata inganta ba,,,
alert.api.identity.validate.success,OTP Validation successful,Uthibitishaji wa OTP umefaulu,Anyi nasarar inganta OTP,,,
alert.api.bnplApproval.create.success,BNPL approved successfully,BNPL imeidhinishwa kwa mafanikio,BNPL Ta tabbata ,,,
alert.api.bnplApproval.create.error,Unable to approve BNPL for user,Imeshindwa kuidhinisha BNPL kwa mtumiaji,an gaza tabbatar da BNPL,,,
alert.api.bnplApproval.create.exists,An active BNPL exists for this user,BNPL inayotumika ipo kwa mtumiaji,kuna da BNPL da yake kan aiki a yanzu,,,
alert.api.bnplApproval.create.userNotFound,User not found,Mtumiaji hajapatikana,Angaza samo amfani,,,
alert.api.bnplDrawdown.create.notFound,No BNPL has been approved for you,Hakuna BNPL iliyoidhinishwa kwako,ba BNPL da aka tabbatar maku,,,
alert.api.bnplDrawdown.create.invalidAmount,Amount specified is more than the amount available for drawdown,Kiasi kilichoainishwa ni zaidi ya kiwango kilichopatikana cha kushuka,Yawan farashin da akasa ya wuce yawan farashin da aka yarje na drawdown,,,
alert.api.bnplDrawdown.create.inactive,Drawdown is not currently active,Kiwango cha kushuka hakifanyi kazi,Ba a tabbatar da drawdown a yanzu ba,,,
alert.api.bnplDrawdown.create.error,"We were unable to process your drawdown, please try again or contact us through the Shara mobile application",Hatukuweza kushughulikia shida yako tafadhali jaribu tena au wasiliana nasi kuipitia programu ya rununu ya Shara,"mun gaza aiwatar d drawdown, a daure a sake gwadawa ko a nememu ta manhajar shara ",,,
alert.api.bnplDrawdown.create.success,Drawdown taken successfully,Kiwango cha kushuka kimechukuliwa kwa mafanikio,An zabi drawdown cikin nasara,,,
alert.api.bnplDrawdown.create.duplicate,"This looks like a duplicate transaction. Please wait 2 minutes to retry, if this is not an error.","Hii inaonekana kama manunuzi ya nakala. Tafadhali subiri dakika 2 ili ujaribu tena, ikiwa hii sio kosa.","Wannan yana kama da ma'amala biyu. Da fatan za a jira minti 2 don sake gwadawa, idan wannan ba kuskure bane.",,,
alert.api.bnplRepayment.create.notFound,No BNPL has been approved for you,Hakuna BNPL iliyoidhinishwa kwako,ba BNPL da aka tabbatar maku,,,
alert.api.bnplRepayment.create.complete,You've already finished repaying your loans,Umeshamaliza kilipa mikopo yako,kun rigada kun gama biyan bashin ku,,,
alert.api.bnplRepayment.create.error,"We were unable to process your repayment, please try again or contact us through the Shara mobile application",Hatukuweza kushughulikia ulipaji wako tafadhali jaribu tena au wasiliana nasi kupitia programu ya simu ya Shara,"Mun gaza aiwatar da sake biyan da akayi, adaure a sake gwadawa ko a nememu ta manhajar shara ",,,
alert.api.bnplRepayment.create.insufficientBalance,Your wallet balance is not sufficient,Salio lako la mkoba halitoshi,balans din wallet dinka basu kai ba,,,
alert.api.bnplRepayment.create.success,Repayment successful,Ulipaji umefanikiwa,Anyi nasarar sake biya,,,
shara_tagline,Built To Get You Paid Faster,Fuatilia ni nani unayemdai na ulipwe kwa haraka,Domin biyan ku kudinku cikin sauri,,,
onboarding_copy_1.title,Get paid on time,Kulipwa kwa wakati,A biya ku kudinku akan lokaci,,,
onboarding_copy_1.description,Get paid 2.5 times faster with Shara,Kulipwa mara 25 kwa kasi zaidi na Shara,Da shara za asamu saurin biya sau 2.5,,,
onboarding_copy_2.title,Send free reminders,Tuma vikumbusho vya bure,Aika sakon tuni kyeuta,,,
onboarding_copy_2.description,Send Free Professional Payment Reminders via SMS and WhatsApp,Tuma mawaidha ya kitaaluma bure kutumia ujumbe na whatsapp,Aika sakon tunatarwa na musamman akan biyan kudi ta cikin whatsapp ko sakon waya,,,
onboarding_copy_3.title,Keep track of your revenue and who owes you,Fuatilia mapato yako na ni nani unayemdai,Kula da kudadan shiga dakuma wadanda suka ci bashi,,,
onboarding_copy_3.description,"Securely record your business data. It's private, secure and backed up in case you lose your device",Rekodi salama data yako ya biashara kwa usalama wa kibinafsi na kuhifadhiwa nakala rudufu,Amintaccen ricordin na bayanan kasuwancin ku. dakuma adana maku bayanaan ku cikin sirri,,,
activities,Activities,Shughuli,Ayyuka,,,
home,Home,Nyumbani,Farko,,,
payments,Payments,Malipo,Biya,,,
more_text,More,Zaidi,Kari,,,
home_screen_setup_business_text,Setup your business,Kuanzisha biashara yako,Saita kasuwancin ku,,,
reminder_text.one,Reminder,Ukumbusho,Tunatarwa,,,
reminder_text.other,Reminders,Makumbusho,Tunatarwa,,,
reminder_text.zero,Set Reminders,Weka vikumbusho,Saitin Tunatarwa,,,
payment_reminder.title,Settings,Mipangalio,Saituna,,,
payment_reminder.thank_you_for_doing_business,Thank you for doing business with {{business_name}}.,Asante kwa kufanya biashara na {{business_name}},Muna godiya da yin cinikayya da {{business_name}},,,
payment_reminder.reminder_count.one,A reminder will be sent a day before collection date,Ukumbusho utatumwa siku moja kala ya tarehe ya kukusanya,Za a tura Tunatarwa kwana daya kafin Ranar biya,,,
payment_reminder.reminder_count.other,A reminder will be sent {{count}} day before collection date,Ukumbusho utatumwa {{count}} kabla ya tarehe ya kukusanya,Za a tura Tunatarwa kwana {{count}} kafin Ranar biya,,,
payment_reminder.no_reminder_set_text,A reminder will be sent to the customer on the collection date. Tap to create a reminder,Ukumbusho utatumwa kwa mteja wako siku hii,Za a turawa kwastoma Tunatarwa a ranar biya. Taba domin saita Tunatarwa,,,
payment_reminder.coming_soon_recurring_reminders,Coming Soon: Recurring reminders,Ijayo. Makumbusho ya mara kwa mara,Tana nan tafe: Tunatarwa akai akai,,,
payment_reminder.reminder_description,A reminder will be sent to your customer on this day,Ukumbusho utatumwa kwa mteja wako siku hii,Za a turawa kwastomanka tunatarwa a wannan ranar,,,
payment_reminder.reminder_unit.days,DAY(S),Siku,v,,,
payment_reminder.reminder_unit.weeks,WEEK(S),Wiki,Sati,,,
payment_reminder.reminder_unit.months,MONTH(S),Mwezi,Wata,,,
payment_reminder.reminder_when.before,BEFORE,Kabla ya,Kafin,,,
payment_reminder.reminder_when.after,AFTER,Baada ya,Bayan,,,
payment_reminder.reminder_added,REMINDER ADDED,Kikumbusho kimeongozewa,An sanya Tunatarwa,,,
payment_reminder.reminder_removed,REMINDER REMOVED,Kikumbusho kimeondolewa,An cire Tunatarwa,,,
payment_reminder.confirm_delete,Are you sure you want to remove the payment reminder?,Unahakika unataka kuondoa kikumbusho cha malipo,Kun tabbata kuna son cire tunatarwa akan biya?,,,
payment_reminder.confirm_exit,Are you sure you want to exit the page without setting a reminder?,Unahakika unataka kutoka kwenye ukurusa bila kuweka ukumbusho,Kun tabbata kuna son fita daga fejin batare da saita tunatarwa ba?,,,
payment_reminder.set_reminder,Set Reminder,Weka ukumbusho,Saita Tunatarwa,,,
payment_reminder.collection_settings,Collection settings,Mipangilio ya ukusanyaji,Hadakar Saituna,,,
payment_reminder.set_collection_date.title,Set Collection Date,Kuweka tarehe ya ukusanyaji,Saitin Lokacin karba,,,
payment_reminder.set_collection_date.description,When is the client going to pay?,Ni lini mteja atalipa,Yaushe Kwastoma Zai biya,,,
payment_reminder.reminder_settings,Reminder settings,Mipangilio ya ukumbusho,Saitin Tunatarwa,,,
payment_reminder.add_reminder.title,Add Reminder,Ongeza ukumbusho,Sanya Tunatarwa,,,
payment_reminder.add_reminder.description,Tap here to create a new reminder. You can create as many as you want.,Gonga hapa ile kuunda ukumbusho mpya unaweza kuunda nyingi utakavyo,Taba nan domin saita sabuwar tunatarwa. zaku iya hada iya adadin da kukeso,,,
payment_reminder.default_reminder.title,Default Reminder,Kikumbusho chaguo msingi,tunatarwa ta asali,,,
payment_reminder.default_reminder.description,An automatic reminder will be sent to your customer on the collection date,Ukumbusho wa moja kwa moja utatumwa kwa mteja wako au tarehe ya kukusanya,Za a turawa kwastomanka tunatarwa a ranar karban kudi,,,
payment_reminder.on_the_day_of_collection,On the day of collection,Siku ya kukusanya,A ranar karban kudi,,,
payment_reminder.no_reminder.added,No reminder will be sent,Hakuna ukumbusho utakaokuwepo,kada a tura tunatarwa,,,
payment_reminder.no_reminder.removed,Reminders will be sent,Vikumbusho vitakuwepo,A tura tunatarwa,,,
recurrence_title,Recurrence,Kujirudia,A kai a kai,,,
recurrence_description,Does this payment repeat?,Malipo haya yanarudia,Ana maimaita wannan biyan?,,,
reminder_message_title,Reminder Message,Ujumbe wa ukumbusho,Sakon tunatarwa,,,
customer_statement.title,Share Customer Statement,Tuma taarifa ya mteja,Tura Bayanin kwastoma,,,
customer_statement.filename,{{customer_name}} Ledger Statement,{{customer name}} taarifa ya kitabu,{{costomer_name}} bayanin littafin ajiya,,,
customer_statement.message,Find attached your ledger statement from {{business_name}},Pata taarifa yako ya kitabu kutoka {{business_name}},zaka samu bayanan littafin ajiyarku daga {{business_name}},,,
transaction.set_collection_date,set collection date,Weka tarehe ya ukusanyaji,Saita ranar karba,,,
transaction.collection_date,Collection Date,Tarehe ya ukusanyaji,Ranar karba,,,
transaction.change_collection_date,Change Collection Date,Badilisha,Chanja ranar karba,,,
transaction.collect_on_date,Collect on **{{date}}**,Ukusanyaji **{{date}}**,A karba a ranar **{{date}}**,,,
transaction.on_$date,on {{date}},kwenye {{date}},A ranar {{date}},,,
transaction.no_reminder_set,No Reminder Set,Hakuna ukumbusho uliowekwa,Ba a saita tunatarwa ba,,,
transaction.send_reminder,Share,Gawa,Tura,,,
transaction.balance_statement,{{customer_name}} has a positive balance of {{balance}},{{customer_name}} ana usawa mzuri wa {{balance}},{{customer_name}} yana da tabbataccen balans {{balance}},,,
transaction.not_owing,{{customer_name}} is not owing,{{customer_name}} hana deni,{{customer_name}} ba bashi akansa,,,
transaction.generating_statement,Generating Statement,Taarifa inayozalisha,Samar da bayanai,,,
transaction.share_statement,Generate Statement,Taarifa inayozalisha,Samar da bayanai,,,
transaction.start_here,Start adding records by tapping here,Anza kuongeza rekodi kwa kugonga hapa,Fara ajiye bayanai idan kukayi rubutu anan,,,
transaction.add_first,Add first transaction for {{customer_name}},Ongeza manunuzi ya kwanza ya {{customer_name}},Sanya cinikayya ta farko ta {{customer_name}},,,
transaction.no_credit_or_amount_warning,Please enter collected amount or outstanding amount,Tafadhali ingiza kiasi kilichokusanywa ama kilichobaki,Sanya adadin kudin da ka karba ko wanda kake bi,,,
transaction.edit_transaction,Edit Transaction,Hariri shughuli,Gyaran ciniki,,,
transaction.transaction_deleted,TRANSACTION DELETED,Tafsiri imefutwa,Angoge cinki,,,
transaction.confirm_delete,Are you sure you want to delete this transaction?,Una hakika unataka kufuta shughuli hii,Ka tabbata kanason goge wannan cinikin?,,,
transaction.is_collection_message,You Collected **{{total_amount}}**.,Ulikusanya **{{total_amount}}**,Ka karbi  **{{total_amount}}**.,,,
transaction.is_collection_with_customer_message,You Collected **{{total_amount}}** *from {{customer_name}}*.,Ulikusanya **{{total_amount}}** kutoka *kwa {{customer_name}}*,kar karbi **{{total_amount}}** *daga {{customer_name}}*,,,
transaction.customer_owes_statement,*{{customer_name}}* owes **{{credit_amount}}**,*{{customer_name}}* deni **{{credit_amount}}**,Kana bin *{{customer_name}}* adadin **{{credit_amount}}**,,,
